file_name;prefix_length;prefix_encoding;model;features_num;features_excluded;LLM_data;epochs;optimizer_name;loss;RMSE_model;RMSE_norm
log_2016-2022_clean_5_eventi_SERVIZI_P_11_B.csv;11;B;LSTM;80;1;0;200;adam;mse;132.76982266623068;0.03417463466688391
log_2016-2022_clean_5_eventi_LAVORI_P_11_B.csv;11;B;LSTM;73;1;0;200;adam;mse;75.16406503013943;0.03429017565243587
log_2016-2022_clean_5_eventi_SERVIZI_P_11_F.csv;11;F;LSTM;80;1;0;200;adam;mse;134.4753257960091;0.03461362709161529
log_2016-2022_clean_5_eventi_LAVORI_P_11_F.csv;11;F;LSTM;73;1;0;200;adam;mse;76.85102301634025;0.03505977327387785
log_2016-2022_clean_5_eventi_LAVORI_P_11_I.csv;11;I;LSTM;159;1;0;200;adam;mse;80.80173660127825;0.03686210611372183
log_2016-2022_clean_5_eventi_SERVIZI_P_11_I.csv;11;I;LSTM;157;1;0;200;adam;mse;144.37646365411166;0.03716215628516351
log_2016-2022_clean_5_eventi_SERVIZI_P_9_F.csv;9;F;LSTM;80;1;0;200;adam;mse;144.76694453709703;0.037262665130113726
log_2016-2022_clean_5_eventi_SERVIZI_P_9_B.csv;9;B;LSTM;80;1;0;200;adam;mse;150.80737760191346;0.038817458147641586
log_2016-2022_clean_5_eventi_SERVIZI_P_9_I.csv;9;I;LSTM;140;1;0;200;adam;mse;152.3834332598261;0.039223131102852506
log_2016-2022_clean_5_eventi_SERVIZI_P_7_F.csv;7;F;LSTM;80;1;0;200;adam;mse;162.4230219580195;0.04180729721135934
log_2016-2022_clean_5_eventi_SERVIZI_P_7_B.csv;7;B;LSTM;80;1;0;200;adam;mse;169.89556022452888;0.04373071068110724
log_2016-2022_clean_5_eventi_SERVIZI_P_7_I.csv;7;I;LSTM;123;1;0;200;adam;mse;170.77628421691563;0.043957406929379265
log_2016-2022_clean_5_eventi_LAVORI_P_9_B.csv;9;B;LSTM;73;1;0;200;adam;mse;99.02207476890796;0.04517430418289597
log_2016-2022_clean_5_eventi_LAVORI_P_9_F.csv;9;F;LSTM;73;1;0;200;adam;mse;99.78231038668129;0.04552112700122322
log_2016-2022_clean_5_eventi_LAVORI_P_9_I.csv;9;I;LSTM;139;1;0;200;adam;mse;106.12533037723006;0.048414840500561156
log_2016-2022_clean_5_eventi_LAVORI_P_7_F.csv;7;F;LSTM;73;1;0;200;adam;mse;124.29705187218109;0.056704859430739545
log_2016-2022_clean_5_eventi_SERVIZI_P_5_I.csv;5;I;LSTM;103;1;0;200;adam;mse;221.66737411702405;0.057056651699087794
log_2016-2022_clean_5_eventi_LAVORI_P_7_B.csv;7;B;LSTM;73;1;0;200;adam;mse;127.60406913186182;0.05821353518789316
log_2016-2022_clean_5_eventi_SERVIZI_P_5_F.csv;5;F;LSTM;80;1;0;200;adam;mse;227.8405883815601;0.05864562227970886
log_2016-2022_clean_5_eventi_LAVORI_P_7_I.csv;7;I;LSTM;119;1;0;200;adam;mse;131.19500018588658;0.05985173366144461
log_2016-2022_clean_5_eventi_SERVIZI_P_5_B.csv;5;B;LSTM;80;1;0;200;adam;mse;234.08182155133582;0.06025210076378514
log_2016-2022_clean_5_eventi_LAVORI_P_5_B.csv;5;B;LSTM;73;1;0;200;adam;mse;160.00467888030326;0.0729948352556128
log_2016-2022_clean_5_eventi_LAVORI_P_5_F.csv;5;F;LSTM;73;1;0;200;adam;mse;160.1417132955867;0.07305735095601583
log_2016-2022_clean_5_eventi_LAVORI_P_5_I.csv;5;I;LSTM;99;1;0;200;adam;mse;163.96531302723434;0.07480169389928575
log_2016-2022_clean_5_eventi_FORNITURE_P_11_F.csv;11;F;LSTM;75;1;0;200;adam;mse;197.59477847569997;0.09346962084943235
log_2016-2022_clean_5_eventi_FORNITURE_P_9_F.csv;9;F;LSTM;75;1;0;200;adam;mse;200.70510669867227;0.09494092086029908
log_2016-2022_clean_5_eventi_FORNITURE_P_11_B.csv;11;B;LSTM;75;1;0;200;adam;mse;203.73919445060343;0.09637615631532802
log_2016-2022_clean_5_eventi_FORNITURE_P_9_B.csv;9;B;LSTM;75;1;0;200;adam;mse;203.77314806759986;0.0963922176289498
log_2016-2022_clean_5_eventi_FORNITURE_P_9_I.csv;9;I;LSTM;128;1;0;200;adam;mse;209.9225256302221;0.09930110010890356
log_2016-2022_clean_5_eventi_SERVIZI_P_3_B.csv;3;B;LSTM;78;1;0;200;adam;mse;388.3258298639702;0.09995413943330576
log_2016-2022_clean_5_eventi_SERVIZI_P_3_F.csv;3;F;LSTM;78;1;0;200;adam;mse;389.08194796043693;0.100148762422121
log_2016-2022_clean_5_eventi_SERVIZI_P_3_I.csv;3;I;LSTM;86;1;0;200;adam;mse;389.55737345969226;0.10027113580804632
log_2016-2022_clean_5_eventi_LAVORI_P_3_I.csv;3;I;LSTM;82;1;0;200;adam;mse;221.85173766781094;0.10120973433750499
log_2016-2022_clean_5_eventi_LAVORI_P_3_B.csv;3;B;LSTM;72;1;0;200;adam;mse;222.01705734698123;0.10128515389917027
log_2016-2022_clean_5_eventi_LAVORI_P_3_F.csv;3;F;LSTM;72;1;0;200;adam;mse;222.17930424877974;0.10135917164634112
log_2016-2022_clean_5_eventi_FORNITURE_P_7_F.csv;7;F;LSTM;75;1;0;200;adam;mse;214.92328275366077;0.1016666427406153
log_2016-2022_clean_5_eventi_FORNITURE_P_11_I.csv;11;I;LSTM;142;1;0;200;adam;mse;215.11056098820518;0.10175523225553698
log_2016-2022_clean_5_eventi_FORNITURE_P_7_I.csv;7;I;LSTM;114;1;0;200;adam;mse;217.62285992615156;0.10294364234917293
log_2016-2022_clean_5_eventi_FORNITURE_P_7_B.csv;7;B;LSTM;75;1;0;200;adam;mse;219.89998464750002;0.10402080636116368
log_2016-2022_clean_5_eventi_FORNITURE_P_5_I.csv;5;I;LSTM;95;1;0;200;adam;mse;238.2972661410605;0.11272339930986779
log_2016-2022_clean_5_eventi_FORNITURE_P_5_F.csv;5;F;LSTM;75;1;0;200;adam;mse;242.1543625135369;0.11454794820886324
log_2016-2022_clean_5_eventi_SERVIZI_P_1_I.csv;1;I;LSTM;69;1;0;200;adam;mse;445.0916478290595;0.11456552515007813
log_2016-2022_clean_5_eventi_FORNITURE_P_5_B.csv;5;B;LSTM;75;1;0;200;adam;mse;242.53068345891728;0.11472596190109616
log_2016-2022_clean_5_eventi_SERVIZI_P_1_B.csv;1;B;LSTM;69;1;0;200;adam;mse;446.0479645959768;0.11481167879763833
log_2016-2022_clean_5_eventi_SERVIZI_P_1_F.csv;1;F;LSTM;69;1;0;200;adam;mse;451.60818287694053;0.11624286567884515
log_2016-2022_clean_5_eventi_LAVORI_P_1_F.csv;1;F;LSTM;62;1;0;200;adam;mse;273.0503238875889;0.12456675359835259
log_2016-2022_clean_5_eventi_LAVORI_P_1_I.csv;1;I;LSTM;62;1;0;200;adam;mse;273.13212526391084;0.12460407174448487
log_2016-2022_clean_5_eventi_LAVORI_P_1_B.csv;1;B;LSTM;62;1;0;200;adam;mse;273.2141845558342;0.12464150755284407
log_2016-2022_clean_5_eventi_FORNITURE_P_3_I.csv;3;I;LSTM;78;1;0;200;adam;mse;381.5659193862748;0.18049475846086793
log_2016-2022_clean_5_eventi_FORNITURE_P_3_B.csv;3;B;LSTM;73;1;0;200;adam;mse;384.70778571147326;0.18198097715774517
log_2016-2022_clean_5_eventi_FORNITURE_P_3_F.csv;3;F;LSTM;73;1;0;200;adam;mse;391.2478638391037;0.18507467542057884
log_2016-2022_clean_5_eventi_FORNITURE_P_1_I.csv;1;I;LSTM;64;1;0;200;adam;mse;398.23701806752626;0.18838080324859333
log_2016-2022_clean_5_eventi_FORNITURE_P_1_B.csv;1;B;LSTM;64;1;0;200;adam;mse;401.96306492309145;0.19014336089077175
log_2016-2022_clean_5_eventi_FORNITURE_P_1_F.csv;1;F;LSTM;64;1;0;200;adam;mse;409.51131513837237;0.1937139617494666
