file_name;prefix_length;prefix_encoding;model;features_num;features_excluded;LLM_data;CV;min_duration_dd_test;max_duration_dd_test;min_duration_dd_cv;max_duration_dd_cv;RMSE_ht;RMSE_ht_norm;RMSE_cv;RMSE_cv_norm;MAE_ht;MSE_ht;MAPE_ht;RMSE;RMSE_norm;MAE;MSE;MAPE;timing_sec;timing_hr;memory
log_2016-2022_clean_5_eventi_LAVORI_P_11_B.csv;11;B;RFR;74;0;0;5;19.0;2364.96;10.0;3918.0;82.1351507970321;0.03501131766826037;[119.91164501  96.60569995  85.82249035  66.99802158  71.79272076];[0.03068363 0.02471998 0.02196072 0.01714381 0.01837071];35.657305981453945;6746.182996451202;8.36;66.38816458880773;0.02829893288411044;21.119631717986856;4407.388397470624;3.28;115;0:01:55;188536
log_2016-2022_clean_5_eventi_LAVORI_P_11_F.csv;11;F;RFR;74;0;0;5;17.0;2259.0;10.0;3918.0;87.3798917519695;0.038974081958951606;[119.84256705  97.01649739  83.32043413  66.50496219  70.76877795];[0.03066596 0.0248251  0.02132048 0.01701765 0.01810869];37.57533174771713;7635.245482585908;9.32;72.03411484550709;0.032129400020297544;20.727959566787025;5188.913701575706;3.21;159;0:02:39;188536
log_2016-2022_clean_5_eventi_LAVORI_P_9_B.csv;9;B;RFR;74;0;0;5;17.0;2033.96;10.0;3918.0;97.38993900456691;0.0482855083911267;[133.96698896 114.36922588 101.84046409  84.08596931  79.38198024];[0.03428019 0.02926541 0.02605948 0.02151637 0.02031269];45.54277451688257;9484.800219313263;10.51;91.92725394755277;0.04557713288689551;34.3935121681886;8450.620018337857;6.14;183;0:03:03;188536
log_2016-2022_clean_5_eventi_LAVORI_P_9_F.csv;9;F;RFR;74;0;0;5;19.0;2190.0;10.0;3918.0;98.3345641107556;0.045294594247238876;[135.60206852 115.07178339 100.09042987  82.71394467  81.31806854];[0.03469858 0.02944519 0.02561168 0.02116529 0.0208081 ];46.509867236487345;9669.686498852301;10.92;89.18943096256744;0.0410821883752038;34.19677856687804;7954.754595426583;6.0;120;0:02:00;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_9_B.csv;9;B;RFR;76;0;0;5;27.0;2082.04;11.04;2512.0;112.6909622743196;0.054836383853511174;[225.95341332 123.64504637 145.70014172  89.80580676  96.81179224];[0.09034667 0.04943903 0.05825769 0.03590853 0.03870985];63.70187104477611;12699.252978312124;22.36;95.2838020255248;0.04636591113823809;20.04538507462687;9079.002928439406;2.71;12;0:00:12;13560
log_2016-2022_clean_5_eventi_LAVORI_P_9_I.csv;9;I;RFR;140;0;0;5;19.0;2259.0;10.0;3918.0;116.4451174947778;0.051984427453025804;[155.16908632 128.09934708 110.40917729  94.38339115  94.40137468];[0.0397055  0.03277875 0.02825209 0.02415133 0.02415593];59.79432321559188;13559.465388372608;15.37;93.26732455521334;0.04163719846214881;35.78036988744959;8698.7938296875;6.13;127;0:02:07;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_9_F.csv;9;F;RFR;76;0;0;5;16.04;2316.04;11.04;2512.0;117.20491175403903;0.05095865728436479;[231.57752171 118.12767105 147.36038693  85.91278318  98.74786077];[0.09259545 0.04723293 0.05892153 0.03435192 0.03948398];62.778708059701486;13736.991339272077;25.14;82.1891078703582;0.035734394726242694;17.07911283582089;6755.049452525376;2.0;11;0:00:11;13560
log_2016-2022_clean_5_eventi_FORNITURE_P_11_B.csv;11;B;RFR;76;0;0;5;30.0;2512.0;11.04;2512.0;120.56962484041661;0.04857760871894303;[230.07781336 107.55843406 146.03700935  80.99070924  99.25291941];[0.0919958  0.04300686 0.05839238 0.03238385 0.03968593];62.612327164179106;14537.034434158806;21.98;59.54828175947873;0.02399205550341609;11.663504477611985;3545.9978605062674;1.88;16;0:00:16;13560
log_2016-2022_clean_5_eventi_FORNITURE_P_11_F.csv;11;F;RFR;76;0;0;5;16.04;2380.04;11.04;2512.0;121.73237621515507;0.05149423697764597;[225.98200627 117.46571272 145.89804687  80.39899868  92.10039802];[0.0903581  0.04696825 0.05833682 0.03214725 0.03682602];67.953112039801;14818.771418988052;20.15;56.74055744215996;0.02400192785201352;12.648068059701528;3219.4908588470544;1.95;11;0:00:11;13560
log_2016-2022_clean_5_eventi_LAVORI_P_11_I.csv;11;I;RFR;160;0;0;5;21.0;3918.0;10.0;3918.0;123.38238172111078;0.0316608626433438;[144.47480519 120.73013658 100.93388655  86.89361826  88.86073617];[0.03696899 0.03089307 0.0258275  0.02223481 0.02273816];58.037441395908544;15223.21211917389;15.15;83.31623037266262;0.021379581825163616;24.17050932257383;6941.594243510589;3.61;123;0:02:03;188536
log_2016-2022_clean_5_eventi_LAVORI_P_7_B.csv;7;B;RFR;74;0;0;5;20.0;2190.0;10.0;3918.0;125.92573192175972;0.058030291208184204;[154.82013116 139.11635146 124.54091716 105.32760251 100.72095271];[0.03961621 0.03559784 0.0318682  0.02695179 0.02577302];66.76761373428866;15857.289960030896;15.62;122.7707645804112;0.05657638920756276;59.493552261626675;15072.660635658749;11.79;189;0:03:09;188536
log_2016-2022_clean_5_eventi_LAVORI_P_7_F.csv;7;F;RFR;74;0;0;5;19.0;2364.96;10.0;3918.0;128.85636909672107;0.05492692505273793;[155.26564725 138.39002477 123.90485492 105.12182276  98.80704428];[0.03973021 0.03541198 0.03170544 0.02689914 0.02528328];66.80408606936209;16603.963856790415;15.47;123.563703514495;0.05267084840086574;59.15997338429958;15267.988826218027;11.64;260;0:04:20;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_7_B.csv;7;B;RFR;76;0;0;5;33.0;2111.04;11.04;2512.0;130.5020606159071;0.0628005527400373;[248.17000621 135.22831476 173.51125841 100.67499185 105.74881883];[0.0992299  0.05407056 0.06937786 0.04025454 0.04228329];75.16129538971809;17030.787824997897;20.22;73.84017569165239;0.03553356802162249;26.666992238806053;5452.371546174093;4.7;10;0:00:10;13560
log_2016-2022_clean_5_eventi_FORNITURE_P_7_F.csv;7;F;RFR;76;0;0;5;16.04;2147.0;11.04;2512.0;130.66841072713726;0.061319034954732725;[246.38070983 141.01844274 181.06501369  94.26662181 114.255611  ];[0.09851445 0.05638572 0.0723982  0.03769217 0.0456847 ];77.45261970149258;17074.233561955836;34.55;104.39131324023576;0.04898792715031524;28.116511044776136;10897.54628002102;4.41;11;0:00:11;13560
log_2016-2022_clean_5_eventi_SERVIZI_P_9_B.csv;9;B;RFR;81;0;0;5;25.04;2229.0;19.0;3925.0;132.53029080907797;0.06013280223283452;[216.90876408 150.90239891 130.4268949  149.34545521 102.76985841];[0.0555322  0.03863349 0.03339142 0.03823488 0.02631077];71.8970144868533;17564.27798193878;14.14;114.10241719556402;0.05177154630554276;32.789037251908404;13019.361609870544;3.7;22;0:00:22;26360
log_2016-2022_clean_5_eventi_LAVORI_P_7_I.csv;7;I;RFR;120;0;0;5;17.0;3918.0;10.0;3918.0;136.28625421000558;0.03493623537810961;[166.76171893 146.7585233  131.29428579 110.97792993 106.40105951];[0.04267188 0.03755336 0.03359629 0.02839763 0.02722647];72.9021993062929;18573.943086594267;18.69;119.0533784536098;0.030518681992722327;58.855630572662285;14173.70692121844;12.24;264;0:04:24;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_11_I.csv;11;I;RFR;143;0;0;5;36.0;2512.0;11.04;2512.0;142.58539156135728;0.05758699174529777;[250.05231951 156.09907856 168.34243025 110.11714236 130.91898515];[0.09998253 0.06241566 0.06731112 0.04402995 0.05234749];87.24803502487566;20330.593886705577;29.77;108.01282065852696;0.04362391787501089;21.63512477611943;11666.769426611108;2.5;12;0:00:12;13560
log_2016-2022_clean_5_eventi_SERVIZI_P_9_F.csv;9;F;RFR;81;0;0;5;41.0;2274.04;19.0;3925.0;143.475354159195;0.06425113484720157;[220.13616194 150.38418141 137.84572023 146.74455328 103.30377606];[0.05635846 0.03850081 0.03529076 0.03756901 0.02644746];73.31052105173877;20585.177251106434;13.69;114.68738129457758;0.05135930448831081;30.311116539440224;13153.195428207824;3.15;22;0:00:22;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_7_B.csv;7;B;RFR;81;0;0;5;22.0;2280.04;19.0;3925.0;146.56417295703076;0.06490769559309435;[249.7754379  189.1607139  158.19483337 164.21468019 110.33771318];[0.0639466  0.04842824 0.04050047 0.04204165 0.02824826];78.49628071246822;21481.05679457843;16.57;131.11494721224798;0.05806582133719863;43.27732427480918;17191.12938247057;6.21;21;0:00:21;26360
log_2016-2022_clean_5_eventi_LAVORI_P_5_F.csv;5;F;RFR;74;0;0;5;17.0;2134.0;10.0;3918.0;147.08220957775535;0.06947671685297843;[186.41340839 167.77249384 154.22625724 132.73110122 131.88646362];[0.04770046 0.04293053 0.03946424 0.03396395 0.03374782];92.87511054475682;21633.17637427475;24.08;148.4341608720446;0.070115333430347;91.25786639457709;22032.700113788014;21.93;167;0:02:47;188536
log_2016-2022_clean_5_eventi_LAVORI_P_5_I.csv;5;I;RFR;100;0;0;5;10.0;2004.96;10.0;3918.0;148.24577952360494;0.0743101513431873;[188.55248611 169.52037771 154.46466191 133.52716003 132.50629323];[0.04824782 0.04337778 0.03952525 0.03416765 0.03390642];96.0207378127133;21976.811146561282;26.32;151.19494363514022;0.07578845873357873;93.93613185120017;22859.910980833225;22.94;160;0:02:40;188536
log_2016-2022_clean_5_eventi_SERVIZI_P_11_B.csv;11;B;RFR;81;0;0;5;20.96;3925.0;19.0;3925.0;149.625966452563;0.038325930690403534;[204.88066319 138.02484505 120.02827898 147.28106313  97.72091769];[0.05245281 0.03533662 0.03072921 0.03770637 0.02501816];65.16499419847327;22387.929836863514;17.31;108.26261249057438;0.027730917841665145;22.494202137404567;11720.793263284273;2.5;20;0:00:20;26360
log_2016-2022_clean_5_eventi_LAVORI_P_5_B.csv;5;B;RFR;74;0;0;5;18.0;2364.96;10.0;3918.0;150.15314038069954;0.06397771601590975;[184.97055159 166.90675855 154.34624607 132.08764969 131.74921209];[0.04733126 0.042709   0.03949495 0.0337993  0.0337127 ];95.10572707469758;22545.965566186067;24.49;150.4434920722454;0.06410142996567704;92.89701473894975;22633.244306891764;22.05;163;0:02:43;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_9_I.csv;9;I;RFR;129;0;0;5;42.0;2316.04;11.04;2512.0;154.48223360608034;0.06793294471780635;[246.94993368 155.08261911 169.94154857 103.1850476  122.10980306];[0.09874206 0.06200924 0.06795053 0.04125818 0.04882517];89.82717014925375;23864.760499923577;32.39;66.67744362746289;0.029321139306020514;16.4425385074627;4445.8814886934915;2.8;15;0:00:15;13560
log_2016-2022_clean_5_eventi_SERVIZI_P_11_F.csv;11;F;RFR;81;0;0;5;25.0;3925.0;19.0;3925.0;160.59828374821123;0.041179047114925954;[207.68077081 140.60543618 127.15382571 143.49611159 100.3844063 ];[0.05316968 0.0359973  0.03255346 0.03673736 0.02570005];71.69124152671756;25791.80874287097;16.88;118.29146151128457;0.030331143977252454;27.25332702290075;13992.86986647572;2.62;22;0:00:22;26360
log_2016-2022_clean_5_eventi_FORNITURE_P_7_I.csv;7;I;RFR;115;0;0;5;30.0;2316.04;11.04;2512.0;160.7707160756106;0.07032716666183034;[261.76323737 167.48152519 196.58156969 114.76995    136.36951094];[0.1046651  0.06696689 0.07860244 0.04589036 0.05452687];93.20796895522389;25847.2231474646;33.55;109.25297121731448;0.047791364638114155;34.3350841791045;11936.211719811346;6.28;15;0:00:15;13560
log_2016-2022_clean_5_eventi_FORNITURE_P_5_I.csv;5;I;RFR;96;0;0;5;37.96;2082.04;11.04;2512.0;168.3111544006332;0.08234078627090584;[310.21797273 207.7606296  233.74061339 145.53738508 164.93114773];[0.12403956 0.08307235 0.09346036 0.05819261 0.06594714];109.48097313432837;28328.644695673793;34.11;171.5292679472275;0.08391514419554397;88.69318805970151;29422.289762511773;19.66;12;0:00:12;13560
log_2016-2022_clean_5_eventi_SERVIZI_P_5_F.csv;5;F;RFR;81;0;0;5;22.0;2271.0;19.0;3925.0;181.59378002876736;0.08074423300523226;[289.61115553 238.00551329 222.5181934  210.43209259 146.48814226];[0.0741452  0.06093331 0.0569683  0.05387406 0.03750336];109.63154564885497;32976.30094513635;24.41;188.02745023089963;0.08360491339746538;92.21281893129773;35354.32204033344;15.38;26;0:00:26;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_7_F.csv;7;F;RFR;81;0;0;5;41.0;3925.0;19.0;3925.0;182.2514925370494;0.04692365925258738;[250.17364036 185.00220085 153.71331197 155.28349012 112.82949799];[0.06404855 0.04736359 0.03935313 0.03975512 0.0288862 ];85.5490224063977;33215.606531982165;18.1;144.7157025266876;0.03725944967216468;47.33503904034894;20942.63455779274;5.89;21;0:00:21;26360
log_2016-2022_clean_5_eventi_FORNITURE_P_5_F.csv;5;F;RFR;76;0;0;5;11.04;2316.04;11.04;2512.0;182.5750287038086;0.07920825540295384;[310.36459882 198.07874125 231.24485701 141.46844654 142.85491129];[0.12409819 0.07920108 0.09246244 0.05656566 0.05712003];102.73342925373134;33333.64110619654;40.47;171.58912505328428;0.07444213668255283;75.24097432835822;29442.827836551627;30.51;12;0:00:12;13560
log_2016-2022_clean_5_eventi_FORNITURE_P_5_B.csv;5;B;RFR;76;0;0;5;11.04;2394.04;11.04;2512.0;190.27144445099654;0.07984533967729607;[307.44708139 199.4186605  234.26874247 140.04314949 148.68709247];[0.12293163 0.07973685 0.09367153 0.05599576 0.05945201];102.0550591044776;36203.22257346866;29.37;174.75004144347363;0.07333195192760118;76.94730985074628;30537.576984495758;19.78;12;0:00:12;13560
log_2016-2022_clean_5_eventi_SERVIZI_P_11_I.csv;11;I;RFR;158;0;0;5;25.04;3925.0;19.0;3925.0;191.41528015267477;0.04908134446319315;[242.57960113 194.94839035 165.09085639 178.28735856 150.88250316];[0.06210435 0.04990998 0.04226596 0.04564449 0.03862839];100.78111511450385;36639.809475926966;26.29;117.93875265214646;0.030241015972509066;31.367390534351113;13909.549377144185;3.41;22;0:00:22;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_5_I.csv;5;I;RFR;104;0;0;5;20.96;1975.0;19.0;3925.0;191.52324610502527;0.09801398441435451;[300.60613506 243.70501667 231.47855356 220.28470405 163.36027232];[0.0769601  0.06239248 0.0592623  0.05639649 0.04182291];120.43678860050892;36681.15379860607;28.73;183.46323507106212;0.09388919114811474;91.09915175572522;33658.75862273979;15.31;23;0:00:23;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_9_I.csv;9;I;RFR;141;0;0;5;39.04;2450.04;19.0;3925.0;193.91146076440054;0.08042781450203258;[247.81513304 197.98313165 175.69774789 186.06688204 148.61476018];[0.06344473 0.05068693 0.0449815  0.04763617 0.03804781];115.20867368956748;37601.65461578366;25.18;122.05090094024598;0.050622522165178756;34.41790534351145;14896.422420325738;3.87;23;0:00:23;26360
log_2016-2022_clean_5_eventi_LAVORI_P_3_I.csv;3;I;RFR;83;0;0;5;18.0;2053.04;10.0;3918.0;197.03917889811336;0.09682324617605224;[241.37450454 219.73025071 200.7494631  175.12439808 178.66312623];[0.0617642  0.05622576 0.05136885 0.04481177 0.04571728];143.31383289596076;38824.438020842725;45.37;207.29767423375134;0.10186417674038414;150.3664847622185;42972.325742722496;45.37;169;0:02:49;188536
log_2016-2022_clean_5_eventi_LAVORI_P_3_F.csv;3;F;RFR;73;0;0;5;19.0;2172.0;10.0;3918.0;197.4128443407944;0.09169198529530627;[241.59489283 219.36823804 200.35439049 175.24792742 179.3285251 ];[0.0618206  0.05613312 0.05126776 0.04484338 0.04588754];145.0894383964234;38971.83111072273;45.92;204.96531908015976;0.09519986952167198;149.69193774831714;42010.7820256317;44.69;177;0:02:57;188536
log_2016-2022_clean_5_eventi_LAVORI_P_3_B.csv;3;B;RFR;73;0;0;5;22.0;3918.0;10.0;3918.0;208.11621952953513;0.05341792082380265;[241.50583377 218.56563612 200.17652544 175.25133908 177.45739162];[0.06179781 0.05592775 0.05122224 0.04484425 0.04540875];147.82473468112929;43312.360831265665;46.68;216.93603571909972;0.05568173401414264;154.26390521844357;47061.24359351851;46.18;184;0:03:04;188536
log_2016-2022_clean_5_eventi_SERVIZI_P_7_I.csv;7;I;RFR;124;0;0;5;28.0;3925.0;19.0;3925.0;221.1925847362194;0.056759708682632644;[273.61889269 213.39594098 190.76688806 189.98203283 143.52919706];[0.07005092 0.05463286 0.04883945 0.04863851 0.03674583];117.40708641221377;48926.1595422896;26.61;176.55650075253487;0.04530574820439694;59.02561099236644;31172.197957979846;7.0;23;0:00:23;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_5_B.csv;5;B;RFR;81;0;0;5;19.0;2282.0;19.0;3925.0;221.3865223394651;0.09782877699490283;[293.41499821 235.26555944 220.11980506 210.20554895 151.20780023];[0.07511905 0.06023184 0.05635428 0.05381606 0.03871167];128.93349007633591;49011.992273562486;31.11;219.13062709279419;0.09683191652355023;107.22752610687022;48018.23173008123;19.13;22;0:00:22;26360
log_2016-2022_clean_5_eventi_LAVORI_P_1_I.csv;1;I;RFR;63;0;0;5;22.0;2364.96;10.0;3918.0;232.02407445732266;0.09903031825439727;[279.66189272 253.06643273 236.12719407 207.28020044 224.00877493];[0.07156139 0.064756   0.06042149 0.05303997 0.05732057];171.46429982615683;53835.171127777205;58.57;259.9973013803887;0.11096958607077743;192.4586642164592;67598.59672508469;62.46;179;0:02:59;188536
log_2016-2022_clean_5_eventi_LAVORI_P_1_B.csv;1;B;RFR;63;0;0;5;17.0;2364.96;10.0;3918.0;233.85359287373984;0.09959862726525999;[279.90682905 252.89604872 236.2930118  207.43479743 223.07085046];[0.07162406 0.0647124  0.06046392 0.05307953 0.05708057];172.42063942357072;54687.50289995687;59.02;255.80189446937928;0.10894644477307078;189.35906531034652;65434.609214123455;61.95;209;0:03:29;188536
log_2016-2022_clean_5_eventi_LAVORI_P_1_F.csv;1;F;RFR;63;0;0;5;10.0;3918.0;10.0;3918.0;246.35656343229894;0.06303903874930884;[280.74892573 252.79283249 235.72613326 207.57032235 222.36136776];[0.07183954 0.06468599 0.06031887 0.05311421 0.05689902];178.56167102869665;60691.556346172336;60.36;268.2674580384212;0.0686457159770781;195.66707750324193;71967.42904239606;62.97;193;0:03:13;188536
log_2016-2022_clean_5_eventi_FORNITURE_P_3_I.csv;3;I;RFR;79;0;0;5;11.04;2512.0;11.04;2512.0;332.89861513497965;0.1331083324543294;[451.79736401 411.40282279 421.97971533 293.05193586 321.81435487];[0.18064958 0.16449796 0.16872709 0.11717578 0.12867633];251.9727193723159;110821.48795878731;86.55;355.3229814876389;0.14207463593485659;260.24894590476185;126254.42117326497;87.9;12;0:00:12;13560
log_2016-2022_clean_5_eventi_FORNITURE_P_3_B.csv;3;B;RFR;74;0;0;5;36.0;2394.04;11.04;2512.0;333.1628919926467;0.14128805787545873;[448.16190098 406.9417284  410.87374821 286.20606623 310.38912076];[0.17919595 0.16271421 0.16428641 0.11443848 0.12410799];243.46819242960882;110997.51260090397;64.55;347.74634107603833;0.14747262178590623;243.5026478445866;120927.5177317724;60.38;10;0:00:10;13560
log_2016-2022_clean_5_eventi_SERVIZI_P_3_I.csv;3;I;RFR;87;0;0;5;41.0;2439.0;19.0;3925.0;346.01026405640096;0.1442911860118436;[436.82445237 378.43115997 371.38721914 345.42250373 353.65048291];[0.11183422 0.09688458 0.09508121 0.08843382 0.09054032];268.1679637907813;119723.10283238032;65.04;359.4078010516708;0.14987814889560916;271.2266884827336;129173.96745679739;60.81;24;0:00:24;26360
log_2016-2022_clean_5_eventi_FORNITURE_P_1_F.csv;1;F;RFR;65;0;0;5;36.0;1621.04;11.04;2512.0;350.66551078190986;0.22123448668923804;[471.46385022 429.88462975 420.54875175 301.79624887 334.30572576];[0.18851315 0.17188785 0.16815493 0.12067216 0.13367096];275.2536594659937;122966.30045193776;80.54;396.87970519470684;0.2503909713286143;295.22013766628044;157513.5003954374;76.02;12;0:00:12;13560
log_2016-2022_clean_5_eventi_SERVIZI_P_3_F.csv;3;F;RFR;79;0;0;5;25.0;2199.0;19.0;3925.0;354.83912978092286;0.1632194709203877;[441.45873204 387.23007597 373.81272595 352.63140484 354.11200184];[0.11302067 0.09913724 0.09570218 0.09027942 0.09065847];274.2579376058293;125910.80802368262;65.75;366.48875858050275;0.16857808582359832;279.4972001546104;134314.01016587802;63.54;25;0:00:25;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_1_B.csv;1;B;RFR;70;0;0;5;19.0;2282.0;19.0;3925.0;364.37952602920024;0.16101614053433505;[480.94028431 415.39112429 400.76324754 377.45929985 408.18191198];[0.12312859 0.10634693 0.10260196 0.09663577 0.10450126];291.60227918373926;132772.4389892646;103.11;394.6276258853851;0.17438251254325457;307.7858332642807;155730.96311193545;101.04;22;0:00:22;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_3_B.csv;3;B;RFR;79;0;0;5;22.0;3925.0;19.0;3925.0;365.9941740686737;0.09377252730429765;[438.3571253  382.07765892 371.42977815 344.66097465 353.64868842];[0.11222661 0.09781814 0.09509211 0.08823886 0.09053986];273.17418313745026;133951.73545221062;69.57;376.23030457529325;0.09639515874334954;274.26420441730284;141549.24208081793;64.71;24;0:00:24;26360
log_2016-2022_clean_5_eventi_FORNITURE_P_1_B.csv;1;B;RFR;65;0;0;5;27.0;2147.0;11.04;2512.0;372.09909499810965;0.17551844103684416;[465.34968935 422.31788287 416.36456275 303.4905691  324.18046462];[0.18606843 0.16886231 0.1664819  0.12134963 0.12962241];291.67671141863985;138457.7364984122;88.11;395.2131910108392;0.1864213165145468;303.0014847884865;156193.46634897008;80.04;9;0:00:09;13560
log_2016-2022_clean_5_eventi_FORNITURE_P_3_F.csv;3;F;RFR;74;0;0;5;16.04;2380.04;11.04;2512.0;373.6655294997766;0.1580649447968598;[452.77086181 409.58192201 413.20749878 287.8280517  319.47911654];[0.18103883 0.16376988 0.16521956 0.11508703 0.12774259];271.7193082876156;139625.9279363484;86.61;389.7684225373701;0.16487665927976738;274.2203983681592;151919.42320726987;82.82;10;0:00:10;13560
log_2016-2022_clean_5_eventi_FORNITURE_P_1_I.csv;1;I;RFR;65;0;0;5;44.0;2316.04;11.04;2512.0;376.6615761073677;0.1657812257299025;[465.97825518 426.02762069 413.06849532 301.38925662 323.67552545];[0.18631976 0.17034564 0.16516398 0.12050943 0.12942051];289.55217327007995;141873.94291568635;84.97;399.1759617869723;0.1756905520091954;298.1892221409296;159341.4484685544;77.46;11;0:00:11;13560
log_2016-2022_clean_5_eventi_SERVIZI_P_1_I.csv;1;I;RFR;70;0;0;5;19.0;3925.0;19.0;3925.0;382.56588129141267;0.0979431339711758;[479.52202357 417.29400408 401.53499799 376.61742513 409.79923935];[0.1227655  0.1068341  0.10279954 0.09642023 0.10491532];290.3645295327025;146356.65352827526;91.15;407.5059347585285;0.10432819630274667;303.2215122512094;166061.08686342207;92.32;26;0:00:26;26360
log_2016-2022_clean_5_eventi_SERVIZI_P_1_F.csv;1;F;RFR;70;0;0;5;22.0;2282.0;19.0;3925.0;393.6296335191669;0.17417240421202074;[480.18251292 414.43002707 401.62673793 375.88679996 412.75613693];[0.12293459 0.10610088 0.10282303 0.09623318 0.10567233];314.9774315125638;154944.28838443363;82.66;416.19626228405866;0.18415763817878703;317.35024678791603;173219.32873922095;76.34;23;0:00:23;26360
